"g","director","programmer","artist","composer","writer","designer","genre","developer","release_date","score","platform"
"http://dbpedia.org/resource/.kkrieger",,,,,,,"http://dbpedia.org/resource/First-person_shooter","http://dbpedia.org/resource/Farbrausch",,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/.kkrieger",,,,,,,"http://dbpedia.org/resource/First-person_shooter","http://dbpedia.org/resource/Farbrausch",,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/0x10c",,,"Jonatan Poljo","http://dbpedia.org/resource/C418",,"http://dbpedia.org/resource/Markus_Persson","http://dbpedia.org/resource/Open_world","http://dbpedia.org/resource/Mojang",,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/0x10c",,,"Jonatan Poljo","http://dbpedia.org/resource/C418",,"http://dbpedia.org/resource/Markus_Persson","http://dbpedia.org/resource/Space_flight_simulator_game","http://dbpedia.org/resource/Mojang",,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/101_Dalmatians:_Escape_from_DeVil_Manor",,,,"http://dbpedia.org/resource/Patrick_J._Collins","Deborah Todd",,"http://dbpedia.org/resource/Action_game","http://dbpedia.org/resource/DreamForge_Intertainment",,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/101_Dalmatians:_Escape_from_DeVil_Manor",,,,"http://dbpedia.org/resource/Patrick_J._Collins","Deborah Todd",,"http://dbpedia.org/resource/Adventure_game","http://dbpedia.org/resource/DreamForge_Intertainment",,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/101_Dalmatians:_Escape_from_DeVil_Manor",,,,"http://dbpedia.org/resource/Patrick_J._Collins","Deborah Todd",,"http://dbpedia.org/resource/Real-time_strategy","http://dbpedia.org/resource/DreamForge_Intertainment",,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/102_Dalmatians:_Puppies_to_the_Rescue",,,,"http://dbpedia.org/resource/Burke_Trieschmann",,,"http://dbpedia.org/resource/Action-adventure_game","http://dbpedia.org/resource/Crystal_Dynamics",,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/102_Dalmatians:_Puppies_to_the_Rescue",,,,"http://dbpedia.org/resource/Burke_Trieschmann",,,"http://dbpedia.org/resource/Platform_game","http://dbpedia.org/resource/Crystal_Dynamics",,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/102_Dalmatians:_Puppies_to_the_Rescue",,,,"http://dbpedia.org/resource/Burke_Trieschmann",,,"http://dbpedia.org/resource/Action-adventure_game","http://dbpedia.org/resource/Crystal_Dynamics",,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/102_Dalmatians:_Puppies_to_the_Rescue",,,,"http://dbpedia.org/resource/Burke_Trieschmann",,,"http://dbpedia.org/resource/Platform_game","http://dbpedia.org/resource/Crystal_Dynamics",,,"http://dbpedia.org/resource/Category:Windows_games"
