"g","director","programmer","artist","composer","writer","designer","genre","developer","release_date","score","platform"
"http://dbpedia.org/resource/007_Legends",,,,"http://dbpedia.org/resource/David_Arnold","http://dbpedia.org/resource/Bruce_Feirstein",,"http://dbpedia.org/resource/First-person_shooter","http://dbpedia.org/resource/Eurocom",2012-11-01,26,"http://dbpedia.org/resource/Wii_U"
"http://dbpedia.org/resource/007_Legends",,,,"http://dbpedia.org/resource/Kevin_Kiner","http://dbpedia.org/resource/Bruce_Feirstein",,"http://dbpedia.org/resource/First-person_shooter","http://dbpedia.org/resource/Eurocom",2012-11-01,26,"http://dbpedia.org/resource/Wii_U"
"http://dbpedia.org/resource/007_Legends",,,,"http://dbpedia.org/resource/David_Arnold","http://dbpedia.org/resource/Bruce_Feirstein",,"http://dbpedia.org/resource/First-person_shooter","http://dbpedia.org/resource/Eurocom",2012-12-07,26,"http://dbpedia.org/resource/Wii_U"
"http://dbpedia.org/resource/007_Legends",,,,"http://dbpedia.org/resource/Kevin_Kiner","http://dbpedia.org/resource/Bruce_Feirstein",,"http://dbpedia.org/resource/First-person_shooter","http://dbpedia.org/resource/Eurocom",2012-12-07,26,"http://dbpedia.org/resource/Wii_U"
"http://dbpedia.org/resource/007_Legends",,,,"http://dbpedia.org/resource/David_Arnold","http://dbpedia.org/resource/Bruce_Feirstein",,"http://dbpedia.org/resource/First-person_shooter","http://dbpedia.org/resource/Eurocom",2012-11-01,41,"http://dbpedia.org/resource/Wii_U"
"http://dbpedia.org/resource/007_Legends",,,,"http://dbpedia.org/resource/Kevin_Kiner","http://dbpedia.org/resource/Bruce_Feirstein",,"http://dbpedia.org/resource/First-person_shooter","http://dbpedia.org/resource/Eurocom",2012-11-01,41,"http://dbpedia.org/resource/Wii_U"
"http://dbpedia.org/resource/007_Legends",,,,"http://dbpedia.org/resource/David_Arnold","http://dbpedia.org/resource/Bruce_Feirstein",,"http://dbpedia.org/resource/First-person_shooter","http://dbpedia.org/resource/Eurocom",2012-12-07,41,"http://dbpedia.org/resource/Wii_U"
"http://dbpedia.org/resource/007_Legends",,,,"http://dbpedia.org/resource/Kevin_Kiner","http://dbpedia.org/resource/Bruce_Feirstein",,"http://dbpedia.org/resource/First-person_shooter","http://dbpedia.org/resource/Eurocom",2012-12-07,41,"http://dbpedia.org/resource/Wii_U"
"http://dbpedia.org/resource/007_Legends",,,,"http://dbpedia.org/resource/David_Arnold","http://dbpedia.org/resource/Bruce_Feirstein",,"http://dbpedia.org/resource/First-person_shooter","http://dbpedia.org/resource/Eurocom",2012-11-01,45,"http://dbpedia.org/resource/Wii_U"
"http://dbpedia.org/resource/007_Legends",,,,"http://dbpedia.org/resource/Kevin_Kiner","http://dbpedia.org/resource/Bruce_Feirstein",,"http://dbpedia.org/resource/First-person_shooter","http://dbpedia.org/resource/Eurocom",2012-11-01,45,"http://dbpedia.org/resource/Wii_U"
