game_symbol, game_name
Gravity_Rush, Gravity Rush
Super_Mega_Baseball, Super Mega Baseball
OlliOlli, OlliOlli
Dynasty_Warriors_8, Dynasty Warriors 8
Tearaway_Unfolded, Tearaway Unfolded
Armikrog, Armikrog
Badiya, Badiya
Dragon_Quest_Heroes_The_World_Trees_Woe_and_the_Blight_Below, Dragon Quest Heroes The World Trees Woe and the Blight Below
Blacklight_Retribution, Blacklight Retribution
MotoGP_15, MotoGP 15
Ninja-Kid, Ninja-Kid
Oxenfree, Oxenfree
Twisted_Metal_Black, Twisted Metal Black
J-Stars_Victory_VS, J-Stars Victory VS
7_Days_to_Die, 7 Days to Die
Beyond_Flesh_and_Blood, Beyond Flesh and Blood
Minecraft, Minecraft
Teenage_Mutant_Ninja_Turtles_Mutants_in_Manhattan, Teenage Mutant Ninja Turtles Mutants in Manhattan
Runner2_Future_Legend_of_Rhythm_Alien, Runner2 Future Legend of Rhythm Alien
Nitroplus_Blasterz_Heroines_Infinite_Duel, Nitroplus Blasterz Heroines Infinite Duel
Earthlock_Festival_of_Magic, Earthlock Festival of Magic
Days_Gone, Days Gone
Borderlands_The_Pre-Sequel, Borderlands The Pre-Sequel
Doodle_God, Doodle God
Hitman, Hitman
Absolver, Absolver
Exerion, Exerion
Full_Throttle, Full Throttle
Prey, Prey
Tokyo_42, Tokyo 42
Borderlands_2, Borderlands 2
Metal_Slug_Anthology, Metal Slug Anthology
Dissidia_Final_Fantasy, Dissidia Final Fantasy
Prodigy, Prodigy
Chariot, Chariot
Metrico, Metrico
Roundabout, Roundabout
Dead_Island_2, Dead Island 2
Hatsune_Miku_Project_DIVA_X, Hatsune Miku Project DIVA X
Night_in_the_Woods, Night in the Woods
The_Swapper, The Swapper
EA_Sports_UFC_2, EA Sports UFC 2
Bound, Bound
Broken_Age, Broken Age
Child_of_Light, Child of Light
Fallout_4_Far_Harbor, Fallout 4 Far Harbor
Ghostbusters, Ghostbusters
Jazzpunk, Jazzpunk
Saints_Row_Gat_out_of_Hell, Saints Row Gat out of Hell
Hotline_Miami_2_Wrong_Number, Hotline Miami 2 Wrong Number
Hammerwatch, Hammerwatch
Catlateral_Damage, Catlateral Damage
